,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2013-03-23,67,12,2,14,16,15
2013-03-24,27,9,0,13,18,6
2013-03-25,26,4,0,13,9,3
2013-03-26,25,3,0,9,16,5
2013-03-27,24,9,4,12,16,7
2013-03-28,16,11,0,22,13,9
2013-03-29,49,4,0,26,15,6
2013-03-30,76,6,6,21,29,13
2013-03-31,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0
2013-04-02,13,3,5,4,11,6
2013-04-03,40,8,1,8,12,3
2013-04-04,10,4,0,6,12,5
2013-04-05,21,7,3,10,10,12
2013-04-06,58,8,2,15,18,10
2013-04-07,34,7,4,11,18,11
2013-04-08,7,2,1,5,6,5
2013-04-09,16,1,0,7,8,2
2013-04-10,19,2,0,5,11,13
2013-04-11,19,16,2,10,10,5
2013-04-12,23,8,2,16,7,14
2013-04-13,53,7,0,14,21,18
2013-04-14,35,7,1,19,13,9
2013-04-15,20,5,0,4,4,3
2013-04-16,35,6,0,16,5,10
2013-04-17,29,8,3,22,7,12
2013-04-18,20,8,2,8,18,3
2013-04-19,24,10,5,4,11,4
2013-04-20,39,11,2,18,14,14
2013-04-21,43,6,3,10,13,10
2013-04-22,17,5,5,8,6,3
2013-04-23,19,10,0,10,5,6
2013-04-24,25,5,4,11,13,10
2013-04-25,17,12,2,6,11,2
2013-04-26,29,12,0,13,15,3
2013-04-27,64,8,0,13,24,6
2013-04-28,35,14,1,5,10,5
2013-04-29,15,13,2,4,19,7
2013-04-30,18,7,0,4,12,6
2013-05-01,0,0,0,0,0,0
2013-05-02,17,15,0,12,9,3
2013-05-03,42,14,0,11,16,2
2013-05-04,55,18,3,30,30,7
2013-05-05,24,8,2,8,6,2
2013-05-06,8,7,3,6,16,6
2013-05-07,13,8,1,8,8,3
2013-05-08,16,4,4,9,26,1
2013-05-09,23,11,5,6,10,6
2013-05-10,29,10,6,14,8,5
2013-05-11,61,23,2,17,25,5
2013-05-12,16,14,10,12,4,3
2013-05-13,29,13,5,12,9,3
2013-05-14,10,15,1,5,7,1
2013-05-15,32,18,0,16,8,3
2013-05-16,16,8,2,8,9,7
2013-05-17,21,17,2,14,14,6
2013-05-18,18,33,5,24,18,9
2013-05-19,22,22,3,13,17,6
2013-05-20,12,7,1,8,6,1
2013-05-21,24,10,4,18,9,4
2013-05-22,29,9,5,20,8,1
2013-05-23,21,8,2,16,5,8
2013-05-24,35,15,5,17,13,23
2013-05-25,48,15,0,23,14,15
2013-05-26,17,10,1,7,7,5
2013-05-27,17,8,2,10,4,2
2013-05-28,18,9,1,10,7,1
2013-05-29,18,6,1,9,8,6
2013-05-30,25,5,0,4,18,7
2013-05-31,37,12,3,16,10,12
2013-06-01,54,11,9,18,31,15
